smiles,logS,weight
C/C=C/C=C/C(=O)O,-1.71,0.425
C/C=C/C=O,0.32,0.875
C/C=C/CC,-2.54,0.875
C/C=C/CC#N,-0.96,0.425
C/C=C/CC1(C)C(=O)NC(=O)N(C)C1=O,-1.54,0.425
C/C=C/CC1(C/C=C/C)C(=O)NC(=O)NC1=O,-2.2,0.425
C/C=C/CCC,-3.23,0.425
C/C=C/CCCC,-3.82,0.875
C/C=C/CO,1.14,0.425
C/C=C/COCN(C(=O)CCl)c1c(CC)cccc1CC,-4.03,0.425
C/C=C/c1ccc(O)c(O)c1,-1.35,0.425
C/C=C/c1ccc(OC)cc1,-3.13,0.425
C/C=C/c1ccc(OCC(=O)O)c(OC)c1,-1.58,0.425
C/C=C\C=C/C(=O)O,-1.77,0.425
C/C=C\C=O,0.32,0.425
C/C=C\CC,-2.54,0.875
C/C=C\CC#N,-0.96,0.425
C/C=C\CCCC,-3.82,0.425
C/C=C\c1ccc(OC)cc1,-3.13,0.425
C/N=C(O)/C(=N\OC)c1ccccc1Oc1ccccc1,-3.35,0.425
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,-1.39,0.425
C/N=C(\O)Oc1cccc(C)c1,-1.8,0.425
C/N=C1/CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,-2.18,0.425
C1=CC=CCC=C1,-2.15955,1
C1=CCC=CC1,-2.02182,1
C1=CCCC1,-2.10137,1
C1=CCCCC1,-2.5889,1
C1=CCCCCC1,-3.17073,1
C1=Cc2cccc3cccc1c23,-3.96555,1
C1CCC2CCCCC2C1,-5.19073,1
C1CCC2NCCCC2C1,-1.08,0.425
C1CCCC1,-2.64414,1
C1CCCCC1,-3.1326,1
C1CCCCCC1,-3.51558,1
C1CCCCCCC1,-4.15055,1
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.88891,1
C1CCNC1,1.14927,1
C1CCNCC1,1.07,1
C1CCOC1,0.534154,0.667808
C1CCOC1,1.14165,0.332192
C1CCOCC1,-0.0303322,1
C1CN1,1.37,0.425
C1CNCCN1,0.411,0.0772727
C1CNCCN1,1.06803,0.922727
C1CO1,1.35784,0.925
C1COC1,1.24,0.425
C1COC2(C1)CCCO2,-0.108,0.425
C1COCCN1,1.06,1
C1COCCO1,1.0527,0.925
C1CSCCS1,-1.6,0.425
C1NNCN2CNNCN12,-0.0128,0.425
C1OCOCO1,0.288,0.925
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.64846,0.875
C=C(C(=O)O)c1ccccc1,-2.05891,1
C=C(C)C,-2.32964,1
C=C(C)C(=C)C,-2.4,1
C=C(C)C(=O)/C(=C\C(=O)O)OC,-0.93,0.425
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.43,0.425
C=C(C)C(=O)O,0.0121345,1
C=C(C)C(=O)OC,-0.810582,1
C=C(C)C(=O)OC(C)(C)C,-2.15162,0.925
C=C(C)C(=O)OCC,-1.3273,0.925
C=C(C)C(=O)OCC(C)C,-2.03946,0.925
C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,-4.42,0.425
C=C(C)C(=O)OCCCC,-2.25,0.925
C=C(C)C1CC=C(C)C(=O)C1,-2.06082,1
C=C(C)C1CC=C(C)CC1,-4.09627,1
C=C(C)C1CCC(C)C(=O)C1,-2.18,0.875
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42,1
C=C(C)C=O,-0.0637649,0.925
C=C(C)CC,-2.73073,1
C=C(C)CCC,-3.03109,1
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.15995,1
C=C(C)CO,0.43,0.425
C=C(C)OC,1.14,0.425
C=C(CC(Cl)(Cl)Cl)c1ccccc1,-4.28108,0.925
C=C(Cl)CSC(=S)N(CC)CC,-3.37671,1
C=C(Cl)Cl,-1.63777,1
C=C/C=C/C#N,-0.722,0.425
C=C/C=C/CC1=C(C)C(OC(=O)C2C(/C=C(/C)C(=O)OC)C2(C)C)CC1=O,-4.62,0.425
C=C/C=C/CC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,-6.22,0.425
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84036,1
C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(O)NC2=O,-0.197,0.425
C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12,-1.77,0.425
C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,-1.77,0.425
C=CC,-1.08,0.875
C=CC#N,0.149003,1
C=CC(=C)C,-2.0311,1
C=CC(=C)CCC=C(C)C,-4.39,0.425
C=CC(=O)CCC,-0.83,0.875
C=CC(=O)OC,-0.226976,1
C=CC(=O)OCC,-0.777036,1
C=CC(=O)OCC(C)C,-1.853,0.363636
C=CC(=O)OCC(C)C,-1.21,0.636364
C=CC(=O)OCC(C)O,0.886,0.925
C=CC(=O)OCC(CC)CCCC,-3.27,0.425
C=CC(=O)OCCCC,-1.80838,0.925
C=CC(C)(C)O,1.06,0.425
C=CC(C)(O)CCC=C(C)C,-1.98918,1
C=CC(C)C,-2.73073,1
C=CC(N)=O,0.957818,1
C=CC(O)C(=O)OCC,0.363,0.425
C=CC(O)C(C)C,-0.515,0.425
C=CC(O)CC,0.0196784,0.925
C=CC(O)CCC,-0.593273,1
C=CC(OC(C)=O)OC(C)=O,-1.24,0.425
C=CC(c1ccc(O)cc1)C(C=C)c1ccc(O)cc1,-4.95,0.425
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.95414,0.875
C=CC1CC=CCC1,-3.3373,0.925
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.37,0.33125
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76,0.54375
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.08208,0.875
C=CC1CN2CCC1CC2C12Nc3ccccc3C1(O)CCO2,-2.67,0.425
C=CC=C,-1.86918,1
C=CC=O,0.572658,1
C=CCBr,-1.5,1
C=CCC,-2.10909,1
C=CCC(C(=O)NC(N)=O)C(C)C,-2.75,0.425
C=CCC(C)C,-3.24145,1
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71005,1
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.01794,0.875
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.35794,0.875
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.4711,1
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,0.875
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,-2.12,0.425
C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.63149,0.875
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.06447,1
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.22301,1
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,-4.82,0.425
C=CCC=C,-2.08918,1
C=CCCBr,-2.24838,0.925
C=CCCC,-2.6789,1
C=CCCC=C,-2.6825,1
C=CCCCC,-3.2289,1
C=CCCCC=C,-3.34,0.925
C=CCCCCC,-3.73073,1
C=CCCCCCC,-4.43918,1
C=CCCCCCCC,-5.05055,1
C=CCCCCCCCC,-5.48086,0.875
C=CCCCCCCCCC(=O)O,-3.39927,1
C=CCCCN=C=S,-2.9,0.425
C=CCCCO,-0.165027,1
C=CCCl,-1.884,0.363636
C=CCCl,-1.36,0.636364
C=CCN,1.24162,0.925
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.61964,1
C=CCN(CC=C)CC=C,-1.74,0.425
C=CCN(CC=C)c1c(C)cc(OC(=O)NC)cc1C,-3.59,0.425
C=CCNC(=O)CN(CC=C)C(=O)C(Cl)Cl,-1.04,0.425
C=CCNCC=C,-0.053,0.925
C=CCOC(=O)C(C)OC(=O)C(C)O,-0.683,0.425
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13036,1
C=CCOC(C)=O,-0.553,0.425
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,-3.22,0.425
C=CCOC1=NS(=O)(=O)c2ccccc21,-3.17,0.425
C=CCOCC=C,-0.0202757,0.925
C=CCS[S+]([O-])CC=C,-0.83,1
C=CCc1ccc(O)c(OC)c1,-1.56055,1
C=CCc1ccc(OC)c(OC)c1,-2.55,0.425
C=CCc1ccc(OC)cc1,-2.92,1
C=CCc1ccc(OCC(=O)O)c(OC)c1,-2.28,0.425
C=CCl,-1.60818,1
C=COC(C)=O,-0.634,0.925
C=COC1CC1,-1.1,0.425
C=COC=C,-1.19162,0.925
C=COCC,-0.852192,1
C=COCC(C)C,-1.52,0.425
C=COCCCl,-2.4,0.425
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,-2.81,0.425
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-3.37,0.425
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,-3.09,0.425
C=Cc1ccc(C)cc1,-3.12162,0.925
C=Cc1ccccc1,-2.73945,1
C=Cc1ccncc1,-0.558,0.425
CC#CCCCC,-2.77054,0.925
CC#CCOC(C)c1ccc(OC)c(OC)c1,-5.37,0.425
CC#N,0.26,0.636364
CC#N,1.387,0.363636
CC(=O)/C(=C/c1ccccc1)CC(=O)O,-1.61,0.425
CC(=O)/C=C/C(=O)O,-0.233,0.425
CC(=O)/C=C/C1=C(C)CCCC1(C)C,-3.06,0.425
CC(=O)/C=C/C1C(C)=CCCC1(C)C,-3.26,0.425
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,-1.83,0.425
CC(=O)C(=O)Nc1ccccc1,-1.37,0.425
CC(=O)C(=O)O,1.06,0.425
CC(=O)C(C)(C)C,-0.721036,1
CC(=O)C(C)C,-0.136064,1
CC(=O)C(C)O,1.05,0.425
CC(=O)C(N=O)c1ccccc1,-2.37,0.425
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,1
CC(=O)C1(C)CO1,0.38,0.425
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.09948,1
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.70927,0.753425
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,0.246575
CC(=O)C1CC(CC(=O)O)C1(C)C,-0.575,0.425
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65055,1
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.47055,1
CC(=O)C1CCOC1=O,0.193,0.925
CC(=O)C=C(C)C,-0.531,0.925
CC(=O)CC(=O)C(C)(C)C,-1.63,0.875
CC(=O)CC(=O)CC(C)C,-1.6,0.875
CC(=O)CC(=O)c1ccccc1,-2.63,0.425
CC(=O)CC(C)(C)O,0.935,0.425
CC(=O)CC(C)=O,0.22,1
CC(=O)CC(C)C,-1.42,0.479452
CC(=O)CC(C)C,-0.730526,0.520548
CC(=O)CC(CC(=O)O)c1ccccc1,-1.45,0.425
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.83949,0.875
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.99184,1
CC(=O)CC1=NCCS1,-1.16,0.425
CC(=O)CC1CCCCN1,-0.450097,0.875
CC(=O)CCC(C)C,-1.32818,1
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.27,1
CC(=O)CCl,-0.012,0.425
CC(=O)CO,1.13,0.425
CC(=O)N(C)C,1.0963,1
CC(=O)N(C)C(=O)COC(=O)c1ccccc1,-2.87,0.425
CC(=O)N(C)N(C(=O)C(=O)N(C)C)c1ccccc1,-0.534,0.425
CC(=O)N(C)c1ccccc1,-0.950518,1
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,-1.67,0.425
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-3.59,0.875
CC(=O)N(c1onc(C)c1C)[S+]([O-])c1ccc(N)cc1,-3.59,0.875
CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,-2.6,0.425
CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83,0.875
CC(=O)NC(=O)COC(=O)c1ccccc1,-2.4,0.425
CC(=O)NC(C(=O)O)C(C)C,-0.451,0.425
CC(=O)NC(CSc1ccc(Cl)c(Cl)c1)C(=O)O,-2.89,0.425
CC(=O)NC(Cc1cc(Br)c(O)c(Br)c1)C(=O)O,-2.18,0.425
CC(=O)NC(N)=O,-0.9,0.875
CC(=O)NC(NC(C)=O)c1ccccc1,-1.31,0.425
CC(=O)NCC(=O)Nc1ccccc1,-1.57,0.425
CC(=O)NCCNC(C)=O,0.675,0.425
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,-2.32054,0.925
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23145,1
CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I,-0.198,0.425
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.23918,1
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,-3.43,0.425
CC(=O)Nc1ccc(Br)cc1,-3.08102,1
CC(=O)Nc1ccc(C)cc1,-2.09,0.425
CC(=O)Nc1ccc(C)cc1F,-1.74,0.425
CC(=O)Nc1ccc(C=O)cc1,-1.58,0.875
CC(=O)Nc1ccc(Cl)cc1,-2.84102,1
CC(=O)Nc1ccc(F)cc1,-1.78,1
CC(=O)Nc1ccc(F)cc1C,-1.36,0.425
CC(=O)Nc1ccc(I)cc1,-3.25,0.875
CC(=O)Nc1ccc(N)cc1,-0.98,0.875
CC(=O)Nc1ccc(O)cc1,-1.03082,1
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.90927,1
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.60891,1
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69074,0.919811
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-1.91,0.0801887
CC(=O)Nc1ccc2c(c1)C(=O)OC2,-2.6,0.425
CC(=O)Nc1cccc(C)c1,-2.09036,1
CC(=O)Nc1ccccc1,-1.31671,1
CC(=O)Nc1ccccc1Cl,-1.4,1
CC(=O)Nc1ccccc1O,-2.23818,1
CC(=O)Nc1ccccc1[N+](=O)[O-],-1.90964,1
CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.3589,1
CC(=O)O,1.22036,1
CC(=O)OC(C(=O)O)c1ccccc1,-1.23,0.425
CC(=O)OC(C)(C)C,-1.14216,0.925
CC(=O)OC(C)=O,0.0700919,0.925
CC(=O)OC(C)C,-0.537897,1
CC(=O)OC(C)C#N,0.247,0.425
CC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,0.875
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.33192,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC21C,-4.94818,1
CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.28206,0.875
CC(=O)OC1CC(C)OC(C)O1,0.759,0.425
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,-4.46,0.875
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.18206,0.875
CC(=O)OC1CCCCC1,-1.67,0.875
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,1
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.36973,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,-4.17,1
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88,0.246575
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.36982,0.753425
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,1
CC(=O)OCC(C(OC(C)=O)c1ccccc1)[N+](=O)[O-],-3.97,0.425
CC(=O)OCC(C)C,-1.23036,1
CC(=O)OCC(C)OC(C)=O,-0.205,0.425
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.591695,1
CC(=O)OCC(S)CS,-1.22,0.425
CC(=O)OCCBr,-0.674,0.925
CC(=O)OCCC(C)C,-1.88455,1
CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.7,0.875
CC(=O)OCCOC(C)=O,0.0858622,0.925
CC(=O)OCCS,-1.5,0.425
CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47,0.875
CC(=O)OCc1ccccc1,-1.6873,0.925
CC(=O)OO,1.12,0.425
CC(=O)OOC(=O)c1ccccc1,-2.45,0.425
CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],-4.47073,1
CC(=O)Oc1ccc(Br)cc1C(=O)O,-2.58946,0.925
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,-2.79378,0.925
CC(=O)Oc1ccccc1/C=C/C(=O)O,-3.16,0.425
CC(=O)Oc1ccccc1C(=O)O,-1.61773,1
CC(=O)Oc1ccccc1C(=O)OCS(C)(=O)=O,-3.39216,0.925
CC(=O)Oc1ccccc1C(=O)Oc1ccccc1,-4.11,0.425
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.25279,1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.515,0.425
CC(=O)c1cc(O)c(O)c(O)c1,-1.47,0.425
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,-5.32,0.425
CC(=O)c1ccc(-c2ccccc2)cc1,-3.31,0.425
CC(=O)c1ccc(N)cc1,-1.60855,1
CC(=O)c1ccc(O)c(C(=O)O)c1,-2.23,0.425
CC(=O)c1ccc(O)c(O)c1O,-2.02108,0.925
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06,0.875
CC(=O)c1ccc2ccccc2c1,-2.8,0.425
CC(=O)c1cccc(N)c1,-1.28,0.875
CC(=O)c1ccccc1,-1.28387,1
CC(Br)CBr,-2.14673,1
CC(Br)CCl,-1.85,0.425
CC(C#N)(CCC(=O)O)/N=N/C(C)(C#N)CCC(=O)O,-2.01,0.425
CC(C(=O)O)C(=O)O,0.76,0.925
CC(C(=O)O)C(C)(C)CCC(=O)O,-1.53,0.425
CC(C(=O)O)N(CCC#N)CCC#N,-0.177,0.425
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.48741,1
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-3.69927,1
CC(C)(/N=C(\O)C(Br)C(C)(C)C)c1ccccc1,-4.95,0.425
CC(C)(C#N)/N=N/C(C)(C)C#N,-2.67,0.425
CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.268264,0.875
CC(C)(C)C,-3.33838,0.925
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.6111,1
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,-4.10891,1
CC(C)(C)C(=O)O,-0.673,0.925
CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.58315,1
CC(C)(C)C(C)(C)O,-0.721091,1
CC(C)(C)C1CCC(O)CC1,-3.19,0.425
CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-5.51036,1
CC(C)(C)CCCO,-1.55036,1
CC(C)(C)CCO,-0.5,1
CC(C)(C)CO,-0.40039,1
CC(C)(C)COC(N)=O,-0.8,0.875
CC(C)(C)Cc1ccccc1,-4.15,0.875
CC(C)(C)N,1.13784,0.925
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,-4.44,0.425
CC(C)(C)NC(=O)COC(=O)c1ccccc1,-2.87,0.425
CC(C)(C)NC(N)=O,-0.731,0.425
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-1.57,0.425
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,-1.62,0.425
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22207,1
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,-1.62,0.425
CC(C)(C)OC(N)=O,0.1,0.875
CC(C)(C)S(=O)(=O)C(C)(C)C,-1.22,0.425
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-3.88,0.425
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-4.73,0.425
CC(C)(C)c1ccc(C(=O)O)cc1,-3.80216,0.925
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-6.69,0.425
CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,-7.48,0.425
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,-3.77,0.425
CC(C)(C)c1ccc(O)c(O)c1,-1.92,0.925
CC(C)(C)c1ccc(O)cc1,-2.41082,1
