smiles,logS
OC1CCCCC1,-0.44
CC(=O)CC1CCCCN1,-0.45
Oc1cccnc1,-0.46
COC(=O)c1cccnc1,-0.46
Cc1ncnc2nccnc12,-0.47
NCC(O)c1ccccc1,-0.48
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48
CCCOC=O,-0.49
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.5
CC(C)(C)CCO,-0.5
NC(Cc1c[nH]cn1)C(=O)O,-0.53
CCCC(O)C(CC)CO,-0.54
NC(=O)CCC(N)C(=O)O,-0.55
CC1CO1,-0.59
O=C1CCCCC1,-0.6
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
CC(O)C(C)(C)C,-0.62
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63
ClCCl,-0.63
CCCCOC(N)=O,-0.66
CCCOCC,-0.66
CCOC(=O)CC,-0.66
Cc1cccc(O)c1,-0.68
O=CNc1ccccc1,-0.68
Oc1ccc(Cl)cc1,-0.7
Oc1cccc(Cl)c1,-0.7
Cc1ccc(O)cc1,-0.7
CCC(O)C(C)C,-0.7
OCCOc1ccccc1,-0.71
CCC(C)C(C)O,-0.72
CCCOC(C)=O,-0.72
CC(C)(C)C(C)(C)O,-0.72
Nc1ccccc1O,-0.72
OCCN(CCO)c1ccccc1,-0.73
C=CC(=O)OCC,-0.74
O=[N+]([O-])c1ccc(O)cc1,-0.74
ONc1ccccc1,-0.74
NC(=O)CC(N)C(=O)O,-0.74
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77
CCOCCOCC,-0.77
c1ccc2[nH]nnc2c1,-0.78
Nc1ccc(O)cc1,-0.8
Cn1ccc(=O)[nH]c1=O,-0.8
CCCC(O)CC,-0.8
C=C(C)C(=O)OC,-0.8
CC(C)(C)COC(N)=O,-0.8
CCOC(=O)CC(=O)OCC,-0.82
c1ccoc1,-0.82
CCCC(=O)OC,-0.82
C=CCS[S+]([O-])CC=C,-0.83
C=CC(=O)CCC,-0.83
O=C(O)c1cccnc1,-0.84
CCCCC=O,-0.85
CN(N=O)C(N)=O,-0.85
C=COCC,-0.85
Cc1cccc(N)c1,-0.85
CCC(O)(CC)CC,-0.85
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
O=Cc1ccccc1O,-0.86
Clc1cnc2cncnc2n1,-0.87
CC1CCC(O)CC1,-0.88
CCCC(C(C)=O)C(C)=O,-0.88
ClCBr,-0.89
O=C(O)Cc1ccccc1,-0.89
CC(=O)NC(N)=O,-0.9
COc1cnc2cncnc2n1,-0.91
CC(O)c1ccccc1,-0.92
CC(C)CC(C)(C)O,-0.92
CCOC(=O)CCC(=O)OCC,-0.96
CC=CCC#N,-0.96
NC(=O)c1ccccc1,-0.96
O=Cc1ccc(O)cc1,-0.96
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.97
CC(=O)Nc1ccc(N)cc1,-0.98
O=C1C=CC(=O)C=C1,-0.99
CCCCOC,-0.99
CCCC(C)(O)CC,-1.0
CC(C)COC=O,-1.01
CC(=O)Nc1ccc(O)cc1,-1.03
c1ccc2c(c1)CCN2,-1.04
O=c1[nH]cc(F)c(=O)[nH]1,-1.07
CCCCC(C)(C)O,-1.08
Oc1ccc(Br)cc1,-1.09
CCBr,-1.09
CC(C)OC(C)C,-1.1
O=C(O)COc1ccccc1,-1.1
COc1ncc2nccnc2n1,-1.11
COc1ncnc2nccnc12,-1.11
NCCc1ccc(O)cc1,-1.12
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13
CC(C)CCCO,-1.14
Nc1cc[nH]c(=O)n1,-1.14
c1ccc2ocnc2c1,-1.16
[O-][S+](CCCl)CCCl,-1.16
CCC(CC)CO,-1.17
ClC(Cl)Cl,-1.17
Cc1ccc(O)c(C)c1,-1.19
O=Cc1ccccc1,-1.19
Cc1ccc(CO)cc1,-1.2
COC(=O)C1C2C=CC(C2)C1C(=O)OC,-1.2
C=CC(=O)OCC(C)C,-1.21
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22
CC(C)C(O)C(C)C,-1.22
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23
CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23
CCCCOC(C)=O,-1.24
CCCCCCO,-1.24
O=C1NC(=O)C(=O)C(=O)N1,-1.25
CCC(C)(O)C(C)(C)C,-1.27
CC(=O)c1ccccc1,-1.28
CC(=O)c1cccc(N)c1,-1.28
CCCC(=O)OCC,-1.28
CC(Cl)Cl,-1.29
COc1ccc(NC(C)=O)cc1,-1.3
c1ccc2ncccc2c1,-1.3
CCCCCC=O,-1.3
ClCCBr,-1.32
CC(=O)Nc1ccccc1,-1.33
CC(=O)CCC(C)C,-1.33
CCc1ccccc1O,-1.36
CCCCC(=O)OC,-1.36
N=C(N)N[N+](=O)[O-],-1.37
Nc1cccc(Cl)c1,-1.37
OCCCc1ccccc1,-1.38
CC(C)CCC(C)O,-1.38
CCC1(CC)C(=O)NC(=O)NC1=O,-1.39
Cc1cc(C)cc(O)c1,-1.4
CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4
CC(=O)Nc1ccccc1Cl,-1.4
CCCC(O)CCC,-1.4
O=C(O)CCc1ccccc1,-1.41
CCCCCC(C)=O,-1.42
c1ccc(-c2ccccn2)nc1,-1.42
Cc1cccc(O)c1C,-1.43
CCCCNCCCC,-1.44
c1ccsc1,-1.45
c1ccc2cnccc2c1,-1.45
O=C(O)c1ccsc1,-1.47
CCCCl,-1.47
ClCC(Cl)Cl,-1.48
COc1ccc(C=O)cc1,-1.49
O=S(=O)(CCCl)CCCl,-1.5
N=C(N)NCC(=O)O,-1.51
c1ccc2[nH]ccc2c1,-1.52
CCCC(C)(C)CO,-1.52
Nc1ccccc1C(=O)O,-1.52
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52
NCc1ccccc1,-1.53
c1cc(-c2ccncc2)ccn1,-1.54
Cc1ccc(C)c(O)c1,-1.54
CC(C)(C)CCCO,-1.55
O=C(O)c1ccccc1,-1.55
Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55
CSc1cnc2cncnc2n1,-1.55
Oc1ccc(Cl)cc1Cl,-1.55
CCCCCC(C)O,-1.55
CCCCC(=O)CC(C)=O,-1.56
C=CCc1ccc(O)c(OC)c1,-1.56
Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56
Cc1cc(O)ccc1Cl,-1.57
CNC(=O)Oc1ccccc1C1OCCO1,-1.57
CC(=O)Nc1ccc(C=O)cc1,-1.58
COC(=O)c1ccc(N)cc1,-1.59
c1ccc(C2CO2)cc1,-1.6
CC(Cl)CCl,-1.6
CC(=O)CC(=O)CC(C)C,-1.6
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.6
O=C(O)c1ccccc1C(F)(F)F,-1.6
CC(C)CC(C)CO,-1.6
CN(C)C(=O)Nc1ccccc1,-1.6
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61
COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62
ClCCCCl,-1.62
CCCOCCC,-1.62
O=Cc1ccc2c(c1)OCO2,-1.63
c1ccccc1,-1.64
C=C(Cl)Cl,-1.64
O=C1NS(=O)(=O)c2ccccc21,-1.64
CC12CCC(CC1)C(C)(C)O2,-1.64
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64
Nc1ccc(Cl)cc1,-1.66
CCCC(C)(COC(N)=O)COC(N)=O,-1.67
CC(=O)OC1CCCCC1,-1.67
O=C(O)c1cccc([N+](=O)[O-])c1,-1.68
BrCCBr,-1.68
COc1c(Cl)ccc(Cl)c1C(=O)O,-1.7
CCNc1ccccc1,-1.7
CCCCCCC=O,-1.7
FC(F)(F)C(Cl)Br,-1.71
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71
CCCCCC(C)(C)O,-1.72
CCCCC(C)C(C)O,-1.72
O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,-1.73
CCCBr,-1.73
O=[N+]([O-])c1ccccc1O,-1.74
ClC(Cl)C(Cl)Cl,-1.74
Cc1ccc(S(N)(=O)=O)cc1,-1.74
CCCCC(=O)OCC,-1.75
CSc1ncc2nccnc2n1,-1.76
NC(=O)c1ccccc1O,-1.76
CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.76
CC=CC=CC(=O)O,-1.77
NC(=S)Nc1ccccc1,-1.77
O=C1CSC(=S)N1,-1.77
COC(=O)c1ccc(O)cc1,-1.78
CCCOC(=O)c1cc(O)c(O)c(O)c1,-1.78
CC(=O)Nc1ccc(F)cc1,-1.78
O=[N+]([O-])c1ccccc1,-1.8
CNC(=O)Oc1cccc(C)c1,-1.8
Fc1ccccc1,-1.8
CCCCCCCO,-1.81
O=C(O)c1ccccc1O,-1.82
CCC(=O)c1ccccc1,-1.83
CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84
CCCCOCCCC,-1.85
COc1ccccc1,-1.85
CCCC(CCC)C(=O)O,-1.86
COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87
CC1CCCC(=O)C1,-1.87
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89
CCCCCOC(C)=O,-1.89
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89
COc1ccc2c(c1OC)C(=O)OC2,-1.89
O=C(O)CCCCCCCC(=O)O,-1.89
ClC(Br)Br,-1.9
BrC(Br)Br,-1.91
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91
CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91
CCCOC(=O)CCC,-1.92
COc1ccc(C=O)c(C(=O)O)c1OC,-1.92
CCCCCCOC(N)=O,-1.92
CN(C)c1ccccc1,-1.92
CCC(=O)Nc1ccccc1,-1.92
CC(=O)OCCC(C)C,-1.92
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93
OC(c1ccccc1)C(O)c1ccccc1,-1.93
CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-1.94
Cc1ccc2ccc(C)nc2c1,-1.94
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95
COc1ccccc1[N+](=O)[O-],-1.96
O=C(O)C=Cc1c[nH]cn1,-1.96
CCC(C)Cl,-1.96
Nc1ccccc1[N+](=O)[O-],-1.96
C1=CCC=CC1,-1.97
Oc1ccc2c(c1)CCCC2,-1.99
CC(Cl)(Cl)Cl,-2.0
Cc1ccccc1S(N)(=O)=O,-2.02
CCCCCl,-2.03
CCCCCCC(C)=O,-2.05
CNC(=O)Oc1ccccc1OC(C)C,-2.05
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06
C=C(C(=O)O)c1ccccc1,-2.06
C=C(C)C1CC=C(C)C(=O)C1,-2.06
Cc1ccccc1C(=O)O,-2.06
OC1CCN2C1=Nc1ccccc1C2O,-2.07
O=C(O)Cc1c[nH]c2ccccc12,-2.07
Cc1ccc(C(C)C)cc1O,-2.08
CC(=O)Nc1cccc(C)c1,-2.09
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09
CC(C)I,-2.09
C=CCC=C,-2.09
CCCCCCC(C)O,-2.09
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,-2.09
OCc1c(Cl)cccc1Cl,-2.1
CCCCC(CC)CO,-2.11
O=C(O)c1ccccc1C(=O)O,-2.11
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.12
Sc1ccccc1,-2.12
Nc1ncnc2[nH]cnc12,-2.12
CN1CSC(=S)N(C)C1,-2.13
Cc1cccc(C(=O)O)c1,-2.14
O=c1ccc2ccccc2[nH]1,-2.14
CC(C)CNC(=O)N1CCNC1=O,-2.15
C1=CC=CCC=C1,-2.15
O=C(O)COc1ccccc1Cl,-2.16
Oc1ccc2ncccc2c1,-2.16
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
CCOc1ccc(NC(N)=O)cc1,-2.17
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.18
CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,-2.18
ClCC(Cl)(Cl)Cl,-2.18
O=[N+]([O-])c1ccc(C=NO)o1,-2.19
Nc1cccc([N+](=O)[O-])c1,-2.19
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
Cc1ccccc1,-2.21
O=C(O)C(O)(c1ccccc1)c1ccccc1,-2.21
Oc1cccc2ccccc12,-2.22
Cc1ccc(C(C)C)c(O)c1,-2.22
CC(Oc1ccccc1Cl)C(=O)O,-2.22
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
Cc1cc(Cl)ccc1OCC(=O)O,-2.23
CCCCc1c(C)nc(N(C)C)nc1O,-2.24
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24
CC(=O)Nc1ccccc1O,-2.24
O=c1cc[nH]c(=S)[nH]1,-2.26
Oc1ccc2ccccc2c1,-2.28
O=C1NC(=O)C([N+](=O)[O-])C(=O)N1,-2.28
CCCI,-2.29
CCCCCCCC(=O)O,-2.3
CCOP(=S)(OCC)Oc1ccc([S+](C)[O-])cc1,-2.3
Fc1cc(F)c(F)c(F)c1,-2.31
ClC(Cl)(Cl)Cl,-2.31
CCOC(=O)c1ccccc1,-2.32
CC1(C)C2CCC1(C)C(O)C2,-2.32
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32
CCCOC(=O)c1ccc(N)cc1,-2.33
NNC(=O)Nc1ccccc1,-2.33
COC(=O)c1ccccc1O,-2.34
Oc1c(Cl)cc(Cl)cc1Cl,-2.34
CCC1(c2ccccc2)CCC(=O)NC1=O,-2.34
CCc1cccc(CC)c1N,-2.35
CCOC(=O)c1ccccc1C(=O)OCC,-2.35
CCOC(=O)c1ccc(O)cc1,-2.35
CCCCCCCC=O,-2.36
C#CCCCC,-2.36
CN(C)C(=O)NC1CCCCCCC1,-2.36
CSc1ncnc2nccnc12,-2.36
S=c1ncc2nccnc2[nH]1,-2.36
CCOc1ccc(NC(C)=O)cc1,-2.37
CCCCBr,-2.37
Clc1ccccc1,-2.38
ClCC(Br)CBr,-2.38
N#Cc1ccccc1C#N,-2.38
Oc1ncnc2[nH]ncc12,-2.38
ClCc1ccccc1,-2.39
Oc1ccccc1-c1ccccc1,-2.39
CSc1ccccc1,-2.39
CCCC(Cl)Cl,-2.4
COC(=O)c1ccc(OC)cc1,-2.41
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-2.41
COc1ccc([N+](=O)[O-])cc1,-2.41
Cc1c[nH]c2ccccc12,-2.42
CC(C)CBr,-2.43
Cc1cc(=O)[nH]c(=S)[nH]1,-2.43
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.43
Cc1cccc([N+](=O)[O-])c1,-2.44
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,-2.44
Cc1cnc(S)nc1O,-2.45
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,-2.45
Nc1cc(Cl)cc(C(=O)O)c1Cl,-2.47
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.48
O=C(O)C=Cc1ccccc1,-2.48
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
O=C(O)COc1ccc(Cl)cc1Cl,-2.51
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52
COc1cc(Cl)c(Cl)cc1O,-2.53
CC=CCC,-2.54
Fc1ccc(CCl)cc1,-2.54
Oc1cccc2ncccc12,-2.54
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54
Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.55
CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.58
CCCCCCCC(C)=O,-2.58
C1=CCCCC1,-2.59
O=C(O)c1cccc(Cl)c1,-2.59
CCc1cccs1,-2.59
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,-2.6
ClC(Cl)C(Cl)(Cl)Cl,-2.6
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6
O=C(O)Cn1c(=O)sc2cccc(Cl)c21,-2.61
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.62
CCCCCCCOC(N)=O,-2.62
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.62
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,-2.63
CCC(=O)c1ccc(N)cc1,-2.63
CCCC(C)Cl,-2.63
C1CCCC1,-2.64
CN(C)CCN(Cc1ccccc1)c1ccccn1,-2.64
CN(C)CCN(Cc1cccs1)c1ccccn1,-2.64
O=C(O)Cc1cccc2ccccc12,-2.65
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,-2.68
C=CCCC=C,-2.68
C=CCCC,-2.68
c1cnc2c(c1)ccc1ncccc12,-2.68
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69
CC(Cl)C(C)(C)Cl,-2.69
CC(Cl)C(C)Cl,-2.7
Nc1ccc(-c2ccc(N)cc2)cc1,-2.7
NCCCCCCCCCCC(=O)O,-2.7
CCCCCCC(=O)OCC,-2.71
CCOc1ccc(C(=O)OCCN(CC)CC)cc1,-2.71
CCCCOC(=O)c1ccc(O)cc1,-2.72
O=C(O)c1ccccc1I,-2.73
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73
CCCCCCl,-2.73
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-2.74
CCCCCCCCC(=O)O,-2.75
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-2.75
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76
S=c1[nH]cnc2nccnc12,-2.77
c1ccc2c(c1)cnc1ccccc12,-2.78
Cc1cc(O)cc(C)c1Cl,-2.8
Cc1ccccc1C,-2.8
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82
Cc1cccc(C)c1,-2.82
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-2.82
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.82
CC(=O)Nc1ccc(Cl)cc1,-2.84
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-2.86
NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,-2.86
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,-2.87
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.87
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
CC(C)CCBr,-2.89
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-2.91
Oc1cccc2c(O)cccc12,-2.92
C=CCc1ccc(OC)cc1,-2.92
NC(=O)c1ccccc1C(N)=O,-2.92
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93
COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,-2.93
CCCCI,-2.96
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96
CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98
CCOC(=O)C=Cc1ccccc1,-3.0
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,-3.0
CCCCCCCCCO,-3.01
CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.01
C#CCCCCC,-3.01
CCCCc1c(C)nc(NCC)nc1O,-3.02
CCN(CC)c1ccccc1,-3.03
CC(C)Cc1ccc(C(C)C(=O)NO)cc1,-3.04
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05
CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05
Clc1ccccc1Cl,-3.05
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.07
CCCCCBr,-3.07
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.08
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.09
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09
CCc1ccc(C)cc1,-3.11
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11
CCCCCCCl,-3.12
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12
CCCCN(CCCC)CCCC,-3.12
FC(F)(Cl)C(F)(F)Cl,-3.12
C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13
CC=Cc1ccc(OC)cc1,-3.13
Fc1ccc(I)cc1,-3.13
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14
BrC(Br)(Br)Br,-3.14
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,-3.14
CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
O=C(Nc1ccccc1)Nc1ccccc1,-3.15
O=C(Oc1ccccc1)c1ccccc1O,-3.15
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18
Sc1nc2ccccc2s1,-3.18
CCCCC,-3.18
Cc1cccc(C)c1C,-3.2
Clc1cccc(Br)c1,-3.21
CCc1ccccc1C,-3.21
O=C(O)C(c1ccccc1)c1ccccc1,-3.22
IC=CI,-3.22
C=CCCCC,-3.23
Nc1ccc(Cl)c(Cl)c1,-3.24
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
CC(=O)Nc1ccc(I)cc1,-3.25
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26
CCCCCOC(=O)c1ccc(N)cc1,-3.26
COC(=O)c1cc(Cl)cc(N)c1Cl,-3.26
CCCCCNCCOC(=O)c1ccc(N)cc1,-3.27
O=C(O)c1cccc(I)c1,-3.27
CC1=CCCCC1,-3.27
CC(C)c1ccccc1,-3.27
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-3.28
CNC(=O)Oc1cccc2ccccc12,-3.28
CC1CCCC1,-3.3
Cc1occc1C(=O)Nc1ccccc1,-3.3
O=C(O)c1cc(I)cc(I)c1O,-3.31
O=C(O)c1ccc(Cl)cc1,-3.31
CCCCCCCCC(C)=O,-3.31
Cc1ccc(C)c(C)c1,-3.31
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32
N#Cc1cc(Br)c(O)c(Br)c1,-3.33
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35
c1ccc2c(c1)ccc1ncccc12,-3.36
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.37
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.37
