smiles,logS,dtype
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.1784471289,G3
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+],-1.4270312571,G1
[Al+3].[Al+3].[Mo].[Mo].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-4.2291529922,G1
C=C(C)C(=O)OCCOc1ccccc1,-2.9526471698,G1
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,-4.1510889183,G5
c1ccc(OCCOc2ccccc2)cc1,-3.9885265275,G1
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128,G1
Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1.[Na+],-1.4396051212999998,G1
CCCC(CCC)C(=O)O,-1.8579774272,G1
[S-]c1nc2ccccc2s1.[S-]c1nc2ccccc2s1.[Zn+2],-4.285895804,G1
C=O.ClCC1CO1.Oc1ccccc1,-4.0347567611,G1
CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152,G1
C=C(C)C(=O)O.CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1,-5.229282852,G1
CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235,G5
C[Si](C)(C)O[Si](C)(C)C,-4.909505216,G3
C=C(F)C(F)(F)F,-2.7599573667,G1
O=c1ccc2ccccc2o1,-1.8860303607,G4
C=C(C)C1CC=C(C)CC1,-3.8464965295,G4
CCN(CC)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c(C)c1.[Na+],-0.6229779303,G1
[S-2].[S-2].[W+4],-4.1391336425,G1
CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1.[Na+].[Na+],-1.642781181,G1
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924,G1
O=[Si]([O-])[O-].[Pb+2],-6.6197116003,G1
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126,G1
O=c1cc/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],-2.6038411441,G1
CCCOCC(C)OCC(C)O,-0.0700526508,G1
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,-4.1708247593,G1
CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCNCCN,-4.4100874366000005,G5
CC(=O)[O-].CCN(CC[n+]1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-1.5218900849,G1
O=C(Oc1ccccc1)Oc1ccccc1,-4.2169166627,G1
C=COC(=O)C(CC)CCCC,-4.1519109764,G1
C=C(C)C(=O)NCNC(=O)C(=C)C,-1.1892367555,G1
C1=C\CC/C=C\CC/1,-2.9659771733,G1
CO[Si](CCCN=C=O)(OC)OC,-3.2569810012,G1
CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004,G1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538,G5
Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],-1.7922611704,G1
O=C(c1ccccc1)c1ccc(O)c(O)c1O,-3.3451078238,G1
CCCCCCCCC/C=C/CC1CC(=O)OC1=O,-4.4255032449,G1
C/C(=C\C(C)CC(C)CC(C)C)C1CC(=O)OC1=O,-4.4255032449,G3
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC.CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC)OCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC,-5.345705158,G1
CCCCCCCCCC(=O)Oc1ccc(C(=O)O)cc1,-5.4245475497000015,G1
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.6765418086000015,G1
COc1ccc(/C=C/C(=O)OCCC(C)C)cc1,-5.4919252104,G1
CCCCCCCCCCCCCCCC(=O)NCC(=O)O,-5.593122621900001,G5
C1=C\CC/C=C/CC/C=C\CC/1,-5.3651562541,G3
CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.CC(CCN(CCC(C)CC(C)(C)C)C(=S)[S-])CC(C)(C)C.[Zn+2],-6.1025269393,G1
N#Cc1ccccc1-c1ccc(CBr)cc1,-6.6566491092,G1
CCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,-6.2145248951999985,G2
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545252999999,G1
CO[C@H]1C[C@H](OC2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)C1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1,-7.5558815137,G1
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-6.183335848,G3
c1cc2ccc3cccc4ccc(c1)c2c34,-6.1787966156,G5
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,-6.40319542,G4
CCC(CC)CC1(C#N)CCCCC1,-6.5873382321000005,G1
COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1,-6.9290130346000005,G1
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.2523945018,G3
CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,-7.4042503575,G5
O=Cc1cccc2c1OC(F)(F)O2,-2.1558333574,G1
CCNc1cc(C#N)c(N)c2c1C(=O)c1ccccc1C2=O,-7.6382805905,G1
CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCCNCCCN,-8.2501920599,G1
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1,-8.1852587653,G3
[O-2].[O-2].[V+4],-4.4002500912,G4
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],-0.4539105371,G1
Cc1cccc(C)c1OCC(=O)O,-2.2566445306,G5
CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2].[Co+3].[Co+].[O-]B([O-])[O-],-1.8254561435,G1
O=c1c(CO)c/c(=N\Nc2ccc(S(=O)(=O)[O-])c3ccccc23)c(=O)/c1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],-0.8171647444,G1
CC(=O)c1ccc(O)cc1,-1.1383824511,G1
[Ca+2].[Mg+2].[O-2].[O-2],-1.9883562334,G4
Nc1ccc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(N=Nc4cccc(C(=O)[O-])c4O)c4ccccc34)c(O)c2c1.[Na+].[Na+],-2.7868204517,G1
CC(=O)/C=C/C=C(\C)CCC=C(C)C,-3.2972120668,G1
C=CN1CCN(C=C)C1=O,-1.1558864442,G1
Nc1cc([N+](=O)[O-])ccc1O,-2.2056018566,G3
O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1,-3.2740875474,G1
Cc1ccc(S(=O)(=O)/C(C#N)=C/N2CC(=O)NC2=S)cc1,-3.5292992951,G1
CCc1occc(=O)c1O,-1.1759580204,G1
COC(=O)Cc1ccccc1,-2.2114017234,G1
O.O=S(=O)(O)O.[Pb],-4.2262964158999985,G1
Cc1c(Cl)cccc1[N+](=O)[O-],-3.2706864295,G1
[Ca+2].[OH-].[OH-],-1.9107299257,G4
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Si+4].[Si+4].[Si+4],-3.0559869634,G5
CCCCCCCl,-3.1223887332,G3
C=C(C)C(=O)OCC(F)(F)F,-2.2684756839,G1
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Bi+3],-2.642008137,G1
CCCCCCC(C)=O,-2.1536963273,G3
CCCCC/C=C/CC(CC(=O)O)C(=O)O,-2.4042405739,G1
C/C=C/C(CCC)(C(=O)O)C(CCC)(CCC)C(=O)O,-3.4953596006,G1
C[C@H]1CC(=O)C=C2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@]21C,-3.5264225666000004,G1
CC1=Nc2ccccc2/C1=N/Nc1cc(Cl)c(S(=O)(=O)NCCS(=O)(=O)[O-])cc1Cl.[Na+],-3.7561795168,G3
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,-4.536378597,G1
[Ba+2].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],-8.7448595438,G1
C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21,-4.4930858187,G1
O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1,-4.5784028785,G1
[K+].[K+].[O-2].[O-2].[O-2].[Ti+4],-5.5836431263,G5
C=CC(=O)OCC(CC)CCCC,-4.2832046138,G2
CCCCC(CC)COP(=S)([S-])OCC(CC)CCCC.CCCCC(CC)COP(=S)([S-])OCC(CC)CCCC.[Zn+2],-4.9288559714,G1
CC(=O)OC1CC2CC1C1CCCC21,-3.3380498278,G1
CCS,-0.8459165595999999,G5
CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,-2.5951754429,G1
CC(C)=CCC[C@@H](C)CC=O,-3.243750947,G1
CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2,-0.288092629,G1
CC(C)c1ccc(CCC=O)cc1,-3.3026567859,G1
CCCCBr,-2.1977641867,G3
CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-].[Na+],-3.6091104804,G2
CCCOC(C)OCCc1ccccc1,-3.3841929036,G1
COC(OC)C(C)(C)CC=C(C)C,-3.3397616042,G1
COC(C)(C)C1CC=C(C)CC1,-3.2966135776,G1
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(N(CC)CC)cc3[o+]c2c1.Cc1nn(-c2ccccc2)c([O-])c1N=Nc1cc(S(=O)(=O)NCCCOC(C)C)ccc1O.Cc1nn(-c2ccccc2)c([O-])c1N=Nc1cc(S(=O)(=O)NCCCOC(C)C)ccc1[O-].[Co+3],-3.2357622441000005,G3
O=[N+]([O-])c1cc(Cl)ccc1Cl,-3.3642253983,G5
C#CC(C)(O)CC/C=C(\C)CC,-2.3027678878,G1
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,-3.4779807224,G4
C=CC(=O)O.CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1,-3.6804449633,G3
O=C1C=CC(=O)N1c1ccccc1,-2.3273175561,G1
CC1=NN(c2ccc(C)cc2)C(=O)C1,-2.365667988,G1
O=Cc1ccc(B(O)O)cc1,-2.2673846672,G1
CC(=O)CC(C)(C)c1ccccc1,-2.337666283,G1
CCCCCOC(=O)CC,-2.2505224040000003,G3
FC(F)=C(F)Cl,-2.1609542979,G3
CCCCCCCCCCCCOCCO,-1.4593774078,G1
NCCCCCCCCCCC(=O)O,-2.4007753619,G5
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,-2.8005950876,G1
C/C=C1\CC2C=CC1C2,-3.1767964148,G3
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,-3.5256277962,G1
CCCCOC(=O)c1ccccc1N,-3.3830205262,G1
O=C(OCc1ccccc1)c1ccccc1O,-4.4139224059,G1
CCCC[Sn](CCCC)(CCCC)CCCC,-4.596065772,G2
C[O-].C[O-].[Mg+2],-3.9943699512,G4
O=S(=O)(O)c1cccc2cc(Nc3ccccc3)cc(Nc3ccccc3)c12,-4.6725029066,G1
CCC(C)(OOC(C)(C)C)OOC(C)(C)C,-4.4507609201,G1
c1ccc(Sc2ccccc2)cc1,-4.3606078686,G1
CCOCCCNS(=O)(=O)c1ccc(Oc2cc(O)c3c(c2N)C(=O)c2ccccc2C3=O)cc1,-4.7874700957,G1
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-4.5531196112,G4
CC1=NN(c2cccc(S(=O)(=O)[O-])c2)C(=O)C1N=Nc1cc(Cl)c(Cl)cc1S(=O)(=O)[O-].[Ca+2],-3.8390840609,G1
CCO,1.2336682179,G5
COc1ccc(OC)cc1,-2.2455315279,G3
c1ccc(CCOC2CCCCC2)cc1,-2.4180900548,G1
CCC(C)(CCC(C)C)C(=O)[O-].CCC(C)(CCC(C)C)C(=O)[O-].[Co+2],-2.7160174073000003,G1
C/C=C/C(=O)C1C(C)C=CCC1(C)C,-3.3963665007,G1
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,-3.5579600556,G1
CCCCC/C=C/CCC=O,-3.301742894,G1
CN(CCO)c1nc(Nc2ccccc2)nc(Nc2ccc(/C=C/c3ccc(Nc4nc(Nc5ccccc5)nc(N(C)CCO)n4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)n1.[Na+].[Na+],-3.0693211517,G1
Cc1cc(C)c(C)c(O)c1,-2.2522030039,G1
CC(F)(F)F,-2.043101387,G1
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.4699304792,G1
CN=C=S,-0.9832225904,G5
CN(C(=O)N(C)c1ccccc1)c1ccccc1,-3.4975575811,G1
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505,G1
CC(C)CCCCCCCO,-3.3243784972,G3
CCC(=O)[O-].CCC(=O)[O-].[Co+2],-0.4376623173,G1
CCOC(=O)C1OC1c1ccccc1,-2.4096512377,G1
CC(C)CCCC(C)(C)O,-2.2869836341,G1
CCC(=O)OCc1ccccc1,-2.344979827,G3
C#CC1(OC(C)=O)CCCCC1,-2.352215179,G1
CCN(CC)CC,-0.1376829835,G5
CCCCCCCC/C=C\CCCCCCCCNCCCNCCCN,-3.7183913352,G1
CSC,-0.9312189022,G5
CNC(=S)[S-].[Na+],0.747325108,G1
Nc1cc(Cl)c(Cl)cc1Cl,-3.4359504856,G1
Clc1cccc(C(Cl)(Cl)Cl)n1,-3.506108364,G5
O=C(O)c1cc2ccccc2cc1O,-3.4172455835,G2
C1=CCCC1.C=C/C=C/C.C=C/C=C\C,-2.4542650743000003,G3
CC(C)c1cccc(C(C)CC=O)c1,-3.6773468456,G1
Nc1c(N=Nc2cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)ccc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccc4c(S(=O)(=O)[O-])cccc4c3S(=O)(=O)[O-])c(O)c12.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],-1.277021164,G3
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918,G1
CCCC[Sn+](CCCC)CCCC.CCCC[Sn+](CCCC)CCCC.[O-2],-3.9228515135,G1
CCCCC,-3.006984006,G5
C/C=C/c1ccc(O)c(OC)c1,-2.3647374971,G1
Cc1ccc(C=O)cc1C,-2.277035079,G1
CC([NH3+])c1ccccc1.C[C@@H]1O[C@@H]1P(=O)([O-])O.O,-0.5941393378000001,G1
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12.[Na+].[Na+],-1.0993150407,G3
CCCCOC(C)=O,-1.2199585633,G5
Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,-2.6919272706,G3
COc1cc(C=O)cc([N+](=O)[O-])c1O,-2.4496899299,G1
CCN(CC)c1cccc(NC(C)=O)c1,-2.4693780306,G1
Cc1ccccc1N=C(N)Nc1ccccc1C,-3.5338845835000003,G1
CCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-7.098737149600001,G4
C=C1C2CCC3C2C(C)(C)CCCC13C,-4.412762427200001,G1
O=C(OCCc1ccccc1)c1ccccc1O,-4.4891053349000005,G1
CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1,-4.5673029377,G1
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2],-4.6051146656,G3
CCC(C)(C)C1CCCCC1OC(C)=O,-4.4462039036,G1
N#CC(=C1CCCCC1)c1ccccc1,-4.4200239973,G1
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.6202577876,G4
O=[N+]([O-])c1ccc(CCc2ccc([N+](=O)[O-])cc2)cc1,-4.589885800199999,G1
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.4694622333,G1
CCCCCCCCCc1ccc(O)cc1,-4.4980268403,G1
COc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1[N+](=O)[O-],-4.6536052692,G1
CCCCCCCCCCCCCCCCCC[NH+](C)C.[Cl-],-4.6786900339,G1
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],1.3320248442,G1
[Cd+2].[OH-].[OH-],-3.3236333941,G1
Fc1ccc2c(c1)CC[C@@H]([C@@H]1CO1)O2.Fc1ccc2c(c1)CC[C@@H]([C@H]1CO1)O2.Fc1ccc2c(c1)CC[C@H]([C@@H]1CO1)O2.Fc1ccc2c(c1)CC[C@H]([C@H]1CO1)O2,-3.0521011765,G1
CC(C)=CCC/C(C)=C/CO,-2.3519095035,G3
COc1ccccc1OC,-1.3149750669,G1
Nc1cnn(CCO)c1N.O=S(=O)(O)O,0.4442593444,G1
O=S(=O)([O-])c1cccc(S(=O)(=O)[O-])c1.[Na+].[Na+],0.3709472853,G1
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-2.7785623319,G3
CCCCCCOC,-2.2450853258000003,G1
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,-2.5337046723,G1
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.7709815003,G1
CC(C)c1ccc(C(C)CC=O)cc1,-3.4598629014,G1
CC1=CC(C)C(CO)C(C)C1,-2.3711973931,G1
C=CC(C)(O)CC/C=C(\C)CC,-2.4091286640000003,G1
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1,-2.7622964758,G1
CC1CC(C)(c2ccccc2)CO1,-2.4332379452,G1
CCCCC(CC)C(=O)OCC,-3.423291255,G1
Oc1cccc2cccnc12,-2.3496052546,G5
CCN(c1cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c1)c1nc(Cl)nc(Nc2ccc3c(c2)C=C(S(=O)(=O)[O-])/C(=N/Nc2ccc(OC)cc2S(=O)(=O)[O-])C3=O)n1.[Na+].[Na+].[Na+],-1.1616711076,G3
[OH-].[OH-].[Zn+2],-2.1858288548,G1
CCOc1ccccc1OCC,-2.41045076,G1
C/C=C/C,-1.9394650737,G3
OCC(O)C(O)C(O)CO,0.6252744890999999,G1
C=CC(=C)C,-2.0257332357,G1
CCCCCCCC/C=C/CCCCCCCCNCCCNCCCNCCCN,-3.8360757577,G1
CC(C)CCCC(C)CCO,-3.3932597866000003,G1
CCn1c(O)c(N=Nc2ccc(S(=O)(=O)c3ccc(N=Nc4c(C)c(CS(=O)(=O)[O-])c(=O)n(CC)c4O)cc3)cc2)c(C)c(CS(=O)(=O)[O-])c1=O.[Na+].[Na+],-2.1021873796,G1
CC(=O)c1ccccc1,-1.2803868403,G5
CC/C=C(\C)C(O)CCCCC,-3.4318638977,G1
